"Story","Title","Result","Date","Stability","Duration (s)"
"Product curd step test","This will create new Product","SUCCESS","2022-06-08T21:19:15.649-11:00[GMT-11:00]","0.0","4.7"
"Product curd step test","Verify if product added to the list or not","SUCCESS","2022-06-08T21:19:20.379-11:00[GMT-11:00]","0.0","0.1"
"Product curd step test","Update product and verify","SUCCESS","2022-06-08T21:19:20.481-11:00[GMT-11:00]","0.0","0.09"
"Product curd step test","delete the created product and verify","SUCCESS","2022-06-08T21:19:20.575-11:00[GMT-11:00]","0.0","0.06"
"Curd store step test","creating new store data","SUCCESS","2022-06-08T21:19:15.665-11:00[GMT-11:00]","0.0","4.65"
"Curd store step test","verify if store added","SUCCESS","2022-06-08T21:19:20.329-11:00[GMT-11:00]","0.0","0.09"
"Curd store step test","update the store information and verify it","SUCCESS","2022-06-08T21:19:20.414-11:00[GMT-11:00]","0.0","0.11"
"Curd store step test","delete the created store","SUCCESS","2022-06-08T21:19:20.520-11:00[GMT-11:00]","0.0","0.06"
